,Compound,Negative,Neutral,Positive,Time of Tweet,Tweet,Tweet Count,User
72,0.6696,0.892,0.0,0.108,Wed Mar 14 19:30:01 +0000 2018,"Give these ladies some love! @Lauren_Alaina, @DBradbery, @carlypearce, and @RaeLynn are nominated for New Female Vocalist Of The Year at the 53rd #ACMawards. Tune in on Sunday, April 15 at 8/7c on CBS and CBS All Access. https://t.co/ZKMXzTVPE3",100,@CBS
73,0.3612,0.857,0.0,0.143,Tue Mar 13 18:48:52 +0000 2018,"RT @ManWithAPlan: Hungry for more #ManWithAPlan bloopers and behind-the-scenes videos featuring cast like @matt_leblanc, @thelizasnyder, @k…",100,@CBS
74,0.539,0.899,0.0,0.101,Tue Mar 13 14:15:10 +0000 2018,"Music stars @MileyCyrus, @edsheeran, @ladygaga, and more will honor the legendary @eltonofficial and his hit songs on Elton John: I’m Still Standing - A GRAMMY®￼ Salute airing April 10 on CBS: https://t.co/46ZXbDfoKE #GRAMMYConcert https://t.co/QpG8lpICHa",100,@CBS
75,0.2244,0.917,0.0,0.083,Mon Mar 12 18:13:28 +0000 2018,RT @thegoodfight: The verdict is in. The new season of #TheGoodFight is 🔥🔥🔥! Stream it now on CBS All Access: https://t.co/FkYSNSXlRb https…,100,@CBS
76,0.0,1.0,0.0,0.0,Mon Mar 12 01:20:43 +0000 2018,"RT @MadamSecretary: In less than an hour, #MadamSecretary's Keith Carradine will be taking over the @MadamSecretary Twitter page! Tweet alo…",100,@CBS
77,0.4926,0.883,0.0,0.117,Fri Mar 09 22:48:26 +0000 2018,RT @DierksBentley: Take and post a photo of the woman in your life who inspires you daily! Use the hashtag #WomanAmenACM in your post for a…,100,@CBS
78,0.1275,0.795,0.092,0.113,Fri Mar 09 22:24:20 +0000 2018,"RT @MomCBS: If you missed guest star @KChenoweth in the latest episode of #Mom, not to worry! Watch now: https://t.co/RlvXoGOZ0l https://t.…",100,@CBS
79,0.784,0.853,0.0,0.147,Fri Mar 09 21:10:21 +0000 2018,"Give a round of applause to @KelseaBallerini, @MirandaLambert, @Reba, @MarenMorris, and @CarrieUnderwood, the five nominees for Female Vocalist Of The Year at the 53rd #ACMawards. Find out who will win on Sunday, April 15 at 8/7c on CBS and CBS All Access! https://t.co/7oAdaSzSe6",100,@CBS
80,0.8658,0.553,0.0,0.447,Fri Mar 09 18:27:28 +0000 2018,"RT @thegoodfight: Smart, sexy, and sophisticated. See what's coming this season on #TheGoodFight. https://t.co/CuKhx2G50P https://t.co/ygTI…",100,@CBS
81,0.0,1.0,0.0,0.0,Fri Mar 09 16:02:27 +0000 2018,RT @BlueBloods_CBS: Even stand-up guys fall down sometimes. #BlueBloods is new tonight at 10/9c! https://t.co/UOlDm22wWW,100,@CBS
82,0.91,0.675,0.0,0.325,Thu Mar 08 18:00:49 +0000 2018,Today and every day we celebrate the women in our lives who empower and inspire us. Share a story about an influential woman in your life for #InternationalWomensDay. #PressforProgress #IWD2018 https://t.co/GcaRzlZfeh,100,@CBS
83,0.6688,0.889,0.0,0.111,Thu Mar 08 17:03:04 +0000 2018,Take and post a photo of the woman in your life who inspires you daily! Use the hashtag #WomanAmenACM in your post for a chance for your photo to be included in @DierksBentley's #ACMawards performance on April 15th on CBS &amp; CBS All Access! Official rules: https://t.co/sGl3a68QRF https://t.co/iLCbNdqJzs,100,@CBS
84,-0.2023,0.619,0.23,0.15,Wed Mar 07 18:39:10 +0000 2018,"RT @thegoodfight: Meticulously constructed. Soapy &amp; sexy. Intoxicating, savage television. 🔥 Here's what critics are saying about #TheGoodF…",100,@CBS
85,0.0,1.0,0.0,0.0,Wed Mar 07 17:06:02 +0000 2018,"This just in! @Jason_Aldean, @mirandalambert, @LukeBryanOnline, and many more are set to perform at the 53rd Academy of Country Music Awards™. Find out which chart-toppers will be taking center stage: https://t.co/Wuznyh2o8r #ACMawards https://t.co/QOD0NTsfjc",100,@CBS
86,0.6705,0.766,0.0,0.234,Tue Mar 06 18:10:59 +0000 2018,"Meet the ensemble of talented actors slated to join $1, a new mystery series coming to CBS All Access: https://t.co/v0nyauJcAL https://t.co/6SwEzlBdKR",100,@CBS
87,0.4389,0.915,0.0,0.085,Mon Mar 05 22:16:43 +0000 2018,"Will @Jason_Aldean, @garthbrooks, @LukeBryanOnline, @ChrisStapleton, or @KeithUrban be named Entertainer Of The Year at the 53rd #ACMawards? Find out on Sunday, April 15 at 8/7c on CBS and CBS All Access! https://t.co/VBrIIlxwb1",100,@CBS
88,0.4404,0.884,0.0,0.116,Sun Mar 04 08:05:26 +0000 2018,"RT @thegoodfight: It feels good to be back. 👠💄🔥 The season 2 premiere of #TheGoodFight is now streaming, exclusively on CBS All Access: htt…",100,@CBS
89,0.0,1.0,0.0,0.0,Sat Mar 03 20:55:20 +0000 2018,"RT @thegoodfight: Tomorrow, #TheGoodFight is back. Stream the season 2 premiere only on CBS All Access: https://t.co/tNFR8LBJO2 https://t.c…",100,@CBS
90,0.91,0.658,0.0,0.342,Fri Mar 02 22:30:01 +0000 2018,"Who are the trailblazing women in your life that inspire you? Join CBS and the ANA's #SeeHer initiative, celebrating accomplished women in the field of STEM: https://t.co/jm0fb7YZz9 https://t.co/d0FxGxVolS",100,@CBS
91,0.7096,0.803,0.0,0.197,Fri Mar 02 20:30:01 +0000 2018,"Join @maria_bello, @aishatyler and @TeaLeoni in celebrating the accomplishments of women who have contributed to the fields of science, technology, engineering, and math (STEM) #SeeHer. https://t.co/kG51AfKzVb",100,@CBS
92,0.4215,0.892,0.033,0.075,Fri Mar 02 18:45:00 +0000 2018,"In honor of Women's History Month, CBS and the Association of National Advertisers' (ANA) #SeeHer initiative will pay tribute to 12 trailblazing women who have contributed to the fields of science, technology, engineering, and math (STEM). Learn more: https://t.co/jm0fb7YZz9 https://t.co/4BBrBomkx1",100,@CBS
93,-0.6981,0.79,0.21,0.0,Thu Mar 01 18:59:01 +0000 2018,RT @ZoeListerJones: Tonight’s an all new Life In Pieces and it’s directed by my ride or die @nataliaanderson!!!… https://t.co/2LPfmyLWrY,100,@CBS
94,0.4547,0.749,0.092,0.159,Thu Mar 01 18:12:57 +0000 2018,"RT @MarenMorris: Hot damn! Woke up from my post-wisdom teeth haze to find out I’m up for 4 @ACMawards ! So honored, especially for the Dear…",100,@CBS
95,0.8591,0.462,0.0,0.538,Thu Mar 01 18:11:50 +0000 2018,RT @KelseaBallerini: Ohhhhh goodness. Incredible. Thank you thank you thank you. #female https://t.co/1ZTYjNfQeF,100,@CBS
96,0.4885,0.615,0.151,0.234,Thu Mar 01 18:10:50 +0000 2018,RT @KeithUrban: ACMs...... HOLY SMOKES!!!!! MAD LOVE TO U ALL THIS MORNING  FOR THESE INCREDIBLE NOMINATIONS. I’M EXTREMELY GRATEFUL!!!!!!!…,100,@CBS
97,0.5994,0.822,0.0,0.178,Thu Mar 01 14:36:21 +0000 2018,"RT @ACMawards: Congratulations to this year’s #ACMawards Video of the Year nominees:
“Black” - @DierksBentley
“It Ain’t My Fault” - @Brothe…",100,@CBS
98,0.7717,0.675,0.0,0.325,Thu Mar 01 14:29:20 +0000 2018,"RT @ACMawards: Please give a round of applause to this year’s #ACMawards Entertainer of the Year nominees: @Jason_Aldean, @GarthBrooks, @Lu…",100,@CBS
99,0.7177,0.8,0.0,0.2,Thu Mar 01 14:15:29 +0000 2018,".@ChrisStapleton, @ThomasRhett, @mirandalambert and more are all nominated for awards at Country Music's Party of the Year®! See the list of nominees here: https://t.co/Eh1zE6OjP6 #ACMawards https://t.co/rxBZ3ntDiD",100,@CBS
