,Compound,Negative,Neutral,Positive,Tweet,Tweet Count,User
35,-0.4215,0.823,0.177,0.0,Former Joint Chiefs chairman worries about generals in President Trump's White House https://t.co/v1RGxKgrRW https://t.co/dSptKGHJ06,100,@CNN
36,-0.7845,0.676,0.259,0.065,The countries with the two biggest economies are threatening huge tariffs against one another as the world waits anxiously by to see if a trade war will materialize https://t.co/8Ojq5gP9T2,100,@CNN
37,0.2023,0.878,0.0,0.122,"China has not wanted to 'talk in earnest,' top Trump economist says https://t.co/Qmb7XDtQfr https://t.co/v1ifOhkBln",100,@CNN
38,-0.5719,0.764,0.236,0.0,"""A Quiet Place"" leads box office as horror keeps making noise https://t.co/LkY7pKca2u https://t.co/L68gDDrjUG",100,@CNN
39,-0.3818,0.68,0.204,0.116,"Republican Rep. Trey Gowdy, the House Oversight Committee chairman, accuses the Department of Justice of stonewalling investigation into alleged FBI abuses https://t.co/4WERCDZR9l https://t.co/vvjzfD2JDi",100,@CNN
40,0.5859,0.863,0.0,0.137,Patrick Reed has finished at 15-under-par 273 to win the Masters by one stroke over Rickie Fowler. It's his first major golf title. https://t.co/VhBnNX89Lh https://t.co/R7JIAVryZw,100,@CNN
41,0.34,0.446,0.218,0.337,"""Fittest woman on earth"" wins gold medal after family tragedy https://t.co/ggWpSE11Tc https://t.co/vkochjbLHE",100,@CNN
42,-0.4588,0.75,0.25,0.0,"A year after the US attacked Syria, what's changed? https://t.co/KLxFWSs77Y https://t.co/u0Vxpoyq4n",100,@CNN
43,0.0,1.0,0.0,0.0,Inside the Houston House runoff that Democrats everywhere are watching https://t.co/MPyhLRhe4l https://t.co/OQQweUmA5V,100,@CNN
44,-0.7717,0.573,0.427,0.0,Dozens have died in a possible gas attack in Syria https://t.co/zWdPqd4SXa https://t.co/IuyQqaQQvg,100,@CNN
45,-0.4019,0.803,0.197,0.0,Body found in ocean near site of Hart family crash https://t.co/iMioXi2ikE https://t.co/0IBrFFI01v,100,@CNN
46,0.6588,0.785,0.0,0.215,"""Scott is doing a great job!"" President Trump defends embattled Environmental Protection Agency administrator Scott Pruitt https://t.co/sNKniAGfrr https://t.co/0OkCl3v7Og",100,@CNN
47,0.0,1.0,0.0,0.0,"White House chief of staff John Kelly's influence in the White House is diminishing, The Washington Post reports https://t.co/trzvVXNypa https://t.co/w6yYzRgQE6",100,@CNN
48,0.0,1.0,0.0,0.0,"Musician and National Rifle Association board member Ted Nugent likens Democrats, media, academics to ""rabid coyotes"" https://t.co/WW3YBY8llR https://t.co/3JuAZeaYWN",100,@CNN
49,-0.6124,0.583,0.417,0.0,"Lightning strike kills 1, injures 4 in Florida https://t.co/EWeVc4RN27 https://t.co/oN64XlUtqB",100,@CNN
50,0.0258,0.667,0.164,0.17,"Pilots had safety concerns months before NYC helicopter crash, lawyer says https://t.co/cdjCClnp82 https://t.co/3zyIYoHmMo",100,@CNN
51,0.0,1.0,0.0,0.0,Polls open as Hungary's Euroskeptic leader Orban seeks fourth term https://t.co/4CL9j8UXkF https://t.co/M08G460BIC,100,@CNN
52,0.0,1.0,0.0,0.0,"""Saturday Night Live"" returns to take shots at President Trump and Fox News https://t.co/SjH2wwaAfK https://t.co/a7ubQUY5kP",100,@CNN
53,0.1316,0.699,0.128,0.172,It's the great what if in political history. What if RFK’s political career had not been cut short by tragedy? #TheKennedys tonight at 9p on CNN. https://t.co/53BpsIZSGO,100,@CNN
54,0.0,1.0,0.0,0.0,Cambridge Analytica whistleblower says data could've come from more than 87 million users and be stored in Russia https://t.co/N0YwQSX4r2 https://t.co/K4UqoArS4q,100,@CNN
55,-0.8834,0.558,0.442,0.0,Hockey community grieves after 15 killed in bus crash involving Canadian junior hockey team https://t.co/m79DKnL27v https://t.co/bCJwCQMwsw,100,@CNN
56,0.0,1.0,0.0,0.0,Take a look at the week in politics https://t.co/gh3kvCmRB9 https://t.co/cq6Dbu1uLE,100,@CNN
57,0.0,1.0,0.0,0.0,JPMorgan Chase and other big banks take center stage https://t.co/lnX1KxEvA0 https://t.co/hF7c1W2ihF,100,@CNN
58,0.0,1.0,0.0,0.0,"""Black Panther"" passes ""Titanic"" at the box office https://t.co/8WgQH7sDJI https://t.co/xJA0PQLPe1",100,@CNN
59,0.5574,0.706,0.071,0.224,Equestrian Edwina Tops-Alexander returns from maternity leave with win in Miami Beach https://t.co/BQMOqCAmSb https://t.co/MAYLPz2CKi,100,@CNN
60,0.0,1.0,0.0,0.0,Democratic Sens. Bernie Sanders and Kamala Harris crossed the base. What will it cost them? https://t.co/JCUtpuoRJ5 | Analysis by Gregory Krieg https://t.co/g1fIRe4O7q,100,@CNN
61,-0.6249,0.611,0.389,0.0,"Muenster van attack driver acted alone, police say https://t.co/Dixeqp0Lpb https://t.co/aEyRD34VPx",100,@CNN
62,-0.7351,0.762,0.238,0.0,"President Trump blames Russian President Vladimir Putin, former President Barack Obama for ""Animal Assad,"" warns of ""big price"" after reports of Syrian chemical attack https://t.co/rJvfAYAmp4 https://t.co/q9ocF8vcbG",100,@CNN
63,-0.6597,0.732,0.268,0.0,"Father confesses to killing 5-year-old son who had autism, authorities say https://t.co/w5R6G14JD6 https://t.co/0VCAHzrmig",100,@CNN
64,-0.6124,0.75,0.25,0.0,"President Trump slams Russian President Vladimir Putin and ""Animal Assad"" after suspected Syria chemical attack https://t.co/JdVoIKU0Y5 https://t.co/Q6BojHcOh1",100,@CNN
65,-0.4215,0.851,0.149,0.0,President Trump denies the influence of White House chief of staff John Kelly is diminished https://t.co/OH0GUq7pq7 https://t.co/ZuDJcbkuOO,100,@CNN
66,-0.4767,0.871,0.129,0.0,"Republican Sen. Susan Collins says embattled Environmental Protection Agency Administrator Scott Pruitt is ""the wrong person to head the EPA"" https://t.co/eFCltqSCI9 https://t.co/yffm9qsivP",100,@CNN
67,0.2023,0.698,0.128,0.174,"Trump's favorite tactic is criminalizing his critics, writes Julian Zelizer for @CNNOpinion https://t.co/JMmCSz9e60 https://t.co/C2004D24ML",100,@CNN
68,-0.5122,0.798,0.202,0.0,"No, Sean Hannity, Jimmy Kimmel is not at all like Harvey Weinstein, writes Dean Obeidallah for @CNNOpinion https://t.co/QlNMnQOlaU https://t.co/5grjJ9i6h6",100,@CNN
69,0.0,1.0,0.0,0.0,"President Trump's Department of Veterans Affairs pick says he's ""got what it takes"" to be secretary https://t.co/hDYEeGt5Q0 https://t.co/TnloU3EObP",100,@CNN
70,0.5719,0.764,0.0,0.236,Fiji wins Hong Kong Sevens for a record fourth time in a row https://t.co/dUKDw9DZwH https://t.co/KQwoe9o51e,100,@CNN
71,-0.2023,0.725,0.167,0.109,"Sinclair allows critical ad to air, sandwiched between its defense https://t.co/ycNHghvdZE https://t.co/XZEWcSb5kf",100,@CNN
72,0.3612,0.918,0.0,0.082,"When an Oklahoma teacher revealed what the chairs in her classroom look like, she didn't imagine it would drive people to donate more than $44,000 in supplies https://t.co/6hO64U8wRg https://t.co/dn49FS2F2Z",100,@CNN
73,0.0,1.0,0.0,0.0,This is the first luxury hotel in space. You'll be able to visit in just four years — if you have $9.5 million to spare https://t.co/JOUpvAJOdI https://t.co/Ug0lFilPMr,100,@CNN
74,-0.0258,0.811,0.097,0.093,This Oklahoma student is excited that her textbook was used by country singer @BlakeShelton in the 1980s. Her mother is embarrassed. https://t.co/ZjjCOixpF9 https://t.co/GDYBDWMXFD,100,@CNN
75,-0.6249,0.825,0.175,0.0,"Sen. Susan Collins on EPA Administrator Scott Pruitt: “On policy grounds alone, I think Scott Pruitt is the wrong person to head the EPA” #CNNSOTU https://t.co/wbmHcnVM9C https://t.co/PEdvcGFSrQ",100,@CNN
76,-0.6808,0.697,0.221,0.082,"He got cancer after decades of using talcum powder. Now a jury has awarded him $30 million in compensatory damages, and his wife $7 million. https://t.co/wPSOZPtPuB https://t.co/1h69Ewcsds",100,@CNN
77,-0.8519,0.751,0.249,0.0,Maine Sen. Susan Collins condemns apparent chemical weapons attack in Syria as “absolutely horrific” and asks Trump to “ramp up” sanctions on Russia in order to oust Assad #CNNSOTU https://t.co/F8syUUSz9x https://t.co/uuvVRT8zWI,100,@CNN
78,0.2023,0.942,0.0,0.058,Kudlow explains Trump’s “original beef with Amazon”: “It’s not so much badmouthing … it’s lets have a level playing field for all the new internet retailing that is going on” https://t.co/vHZLZhb2nq https://t.co/I3lyDaA4ZU,100,@CNN
79,0.3804,0.852,0.046,0.102,"WH economic adviser to farmers on tariffs: “This process may turn out to be very benign. You have to take certain risks as you go in, we are taking them, we are making our case. Nothing has happened so far” #CNNSOTU https://t.co/UAITQ4C9zd",100,@CNN
80,-0.4019,0.909,0.091,0.0,"White House economic adviser Larry Kudlow: “The problem here is China, it is not President Trump … I think President Trump is doing exactly the right thing” #CNNSOTU https://t.co/kep8rLQjBR https://t.co/MwOqPCSfAb",100,@CNN
81,0.0,1.0,0.0,0.0,Virgin Galactic is one step closer to bringing tourists to space after this test flight https://t.co/ZCjzj9H641 https://t.co/hqDyPJBYKz,100,@CNN
82,0.4019,0.803,0.0,0.197,"Marijuana legalization could help offset the opioid epidemic, studies find https://t.co/f1jCFl3HGY https://t.co/90konlBWXC",100,@CNN
83,-0.8402,0.795,0.205,0.0,"New York police released a video of this man pointing a metal object as if he were brandishing a gun. He was later fatally shot by police after he pointed what officers believed was a gun at them, authorities said. https://t.co/bN3gNY1C4C https://t.co/5RWiaqWA6Z",100,@CNN
84,0.5096,0.762,0.071,0.167,"As Michigan ends a free bottled water program in Flint claiming the water quality has been restored, some residents don't believe it's safe to drink or use yet https://t.co/OcVhns8f7Z https://t.co/HbRyjLxNbr",100,@CNN
85,0.0772,0.966,0.0,0.034,"In 2014, a 23-year-old woman with cerebral palsy was allegedly gang-raped and thrown from a rooftop. 

A Human Rights Watch report cites this as just one example highlighting the additional challenges women and girls with disabilities face in India. https://t.co/DEOLD4IjDO https://t.co/8AfBz6VviE",100,@CNN
86,-0.7096,0.648,0.237,0.115,"Artificial intelligence scientists from around the world called for a boycott of a South Korean university over concerns it was working with a defense company to research autonomous weapons, or ""killer robots."" https://t.co/rpO9f5tFcz https://t.co/7to2B7WKJS",100,@CNN
87,0.6486,0.798,0.0,0.202,"The mystery of a 4,000-year-old ancient Egyptian mummy's head has finally been solved, after the FBI successfully extracted DNA from its tooth https://t.co/XYDzgpVsMF https://t.co/1U1tUjZ4Vw",100,@CNN
88,0.128,0.818,0.082,0.1,"This police officer in Chattanooga, Tennessee, took a break from hiding Easter eggs at an event for the holiday to bust a move with residents https://t.co/Upuz9u6KNj",100,@CNN
89,-0.4019,0.891,0.109,0.0,"If you stand inside the world's quietest room for long enough, you start to hear your heartbeat. Then you lose your balance https://t.co/I9RteUaKuO",100,@CNN
90,0.4404,0.83,0.0,0.17,"This 17-year-old student got accepted into 19 top universities, including Yale, Stanford, Columbia and the London School of Economics https://t.co/ovcpPUzUqr https://t.co/2uE2ctZlvx",100,@CNN
91,-0.9136,0.542,0.458,0.0,"An Illinois town has banned assault weapons. The penalty if you keep one? Up to $1,000 a day. https://t.co/4grJanidCq https://t.co/I1cI5zGzwf",100,@CNN
92,-0.3182,0.872,0.082,0.046,"The companies Trump has attacked on Twitter since his election:

ABC News
Amazon
Boeing
CBS
CNN
Comcast/MSNBC/NBC
Delta
ESPN
Facebook
General Motors
Lockheed Martin
Merck
New York Times
NFL
Nordstrom
Toyota
Washington Post

https://t.co/14QlOvEZ8i",100,@CNN
93,0.0,1.0,0.0,0.0,A former city official in Georgia used the N-word while pushing for Confederate History Month at a city meeting https://t.co/KZffAUGvgY https://t.co/vtnnTJ3iXI,100,@CNN
94,-0.1531,0.769,0.132,0.099,"Nancy Pelosi, the top House Democrat, calls on EPA Administrator Scott Pruitt to resign https://t.co/V63jZLv5se https://t.co/RVYRvwKsyL",100,@CNN
95,0.0,1.0,0.0,0.0,Virgin Galactic is one step closer to bringing tourists to space after this test flight https://t.co/4b6rOLtWsS https://t.co/x1zoTTWtEh,100,@CNN
96,0.128,0.741,0.116,0.143,"Mexican President to Trump: ""Nothing and no one stands above the dignity of Mexico."" https://t.co/2C5VVONFAk https://t.co/EqIotPJCxq",100,@CNN
97,0.4019,0.87,0.0,0.13,"President Trump has begun informally preparing for a possible interview with special counsel Robert Mueller, sources tell CNN https://t.co/eoOg9WR5sX https://t.co/va6pCVExbl",100,@CNN
98,0.0258,0.645,0.174,0.181,"Pilots had safety concerns months before NYC helicopter crash, lawyer says https://t.co/zm5dsd8kkG",100,@CNN
99,0.0,1.0,0.0,0.0,This mom donated 14 gallons of breast milk to NICU babies in need https://t.co/HwjS6NbWpC https://t.co/znmKGN6Vip,100,@CNN
